Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10100.0,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10099.91,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10089.49,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10104.77,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10115.9,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
AUDUSD.0,M5,AMSstrategy,2,6,0,3,10117.05,25.0
